time;pac;freq;
08:48:10;0;49,98;
08:48:12;0;49,98;
08:48:15;121;49,98;
08:48:24;123;49,98;
08:48:30;124;49,97;
08:48:33;126;49,97;
08:48:36;124;49,98;
08:48:39;126;49,97;
08:48:42;126;49,98;
08:48:48;107;49,97;
08:48:51;125;49,97;
08:48:54;128;49,97;
08:48:57;125;49,96;
08:49:00;126;49,97;
08:49:06;136;49,97;
08:49:09;125;49,97;
08:49:12;126;49,98;
08:49:18;132;49,98;
08:49:21;136;49,98;
08:49:24;135;49,98;
08:49:30;136;49,98;
08:49:33;138;49,98;
08:49:36;137;49,98;
08:49:42;138;49,97;
08:49:45;139;49,98;
08:49:48;140;49,97;
08:49:54;141;49,97;
08:50:00;141;49,96;
08:50:03;140;49,96;
08:50:06;141;49,96;
08:50:12;144;49,96;
08:50:15;141;49,96;
08:50:18;144;49,96;
08:50:21;147;49,96;
08:50:24;145;49,95;
08:50:30;147;49,95;
08:50:33;146;49,95;
08:50:36;149;49,95;
08:50:39;148;49,95;
08:50:42;147;49,95;
08:50:45;148;49,95;
08:50:48;149;49,96;
08:50:51;152;49,96;
08:50:54;152;49,97;
08:51:00;154;49,97;
08:51:03;154;49,98;
08:51:06;156;49,98;
08:51:12;153;49,97;
08:51:18;152;49,97;
08:51:21;155;49,97;
08:51:27;145;49,97;
08:51:30;140;49,97;
08:51:33;149;49,98;
08:51:36;156;49,98;
08:51:39;157;49,97;
08:51:45;160;49,97;
08:51:48;162;49,97;
08:51:51;162;49,96;
08:51:54;159;49,96;
08:52:00;155;49,97;
08:52:03;164;49,97;
08:52:06;162;49,97;
08:52:09;163;49,98;
08:52:12;158;49,97;
08:52:15;158;49,98;
08:52:18;156;49,98;
08:52:21;164;49,98;
08:52:24;165;49,99;
08:52:27;161;49,99;
08:52:30;166;49,99;
08:52:33;168;49,98;
08:52:36;170;49,98;
08:52:39;172;49,98;
08:52:42;173;49,98;
08:52:45;172;49,97;
08:52:51;171;49,97;
08:52:54;172;49,97;
08:52:57;174;49,97;
08:53:03;174;49,96;
08:53:09;176;49,96;
08:53:15;181;49,97;
08:53:18;182;49,96;
08:53:21;181;49,97;
