Datum (GMT+1);Import Saldo;Kernenergie;Nicht Erneuerbar;Erneuerbar;Strompreis
03.01.2022 00:00;;3.333.888;15.910.381;39.562.893;-0.01
03.01.2022 00:15;;3.332.048;15.893.986;38560.15;-0.01
03.01.2022 00:30;;3.256.692;15.733.783;37.865.503;-0.01
03.01.2022 00:45;;3.192.926;15.650.434;39.507.613;-0.01
03.01.2022 01:00;;3.171.994;15.596.178;39.181.155;-0.07
03.01.2022 01:15;;3.140.321;15.487.332;38.305.026;-0.07
03.01.2022 01:30;;3.140.411;15.539.772;37.876.451;-0.07
03.01.2022 01:45;;3133.57;15.489.987;37.210.779;-0.07
03.01.2022 02:00;;3.135.391;15.481.743;36.441.941;-1.05
03.01.2022 02:15;;3122.93;15.532.729;37.951.995;-1.05
03.01.2022 02:30;;3.076.725;15.521.025;37.226.621;-1.05
03.01.2022 02:45;;3.073.725;15.541.965;37.395.896;-1.05
03.01.2022 03:00;;3.101.228;15.536.552;37.988.022;-1
03.01.2022 03:15;;3.080.816;15.513.128;39.194.297;-1
03.01.2022 03:30;;3.107.728;15.659.461;39007.26;-1
03.01.2022 03:45;;3.201.277;15.833.627;39682.29;-1
03.01.2022 04:00;;3.307.126;16022.55;41.551.291;0.32
03.01.2022 04:15;;3.338.879;16.327.001;42510.48;0.32
03.01.2022 04:30;;3.344.059;16.616.116;43.118.785;0.32
03.01.2022 04:45;;3.339.109;16.887.147;45.270.797;0.32
03.01.2022 05:00;;3.321.597;17.331.862;47.951.115;37.55
03.01.2022 05:15;;3.326.528;17.807.987;48.301.296;37.55
03.01.2022 05:30;;3.341.709;18.318.549;48379.56;37.55
03.01.2022 05:45;;3.334.678;18.938.324;49.050.452;37.55
03.01.2022 06:00;;3.313.717;19.939.116;50.150.553;88.76
03.01.2022 06:15;;3.340.859;20.482.407;49.740.032;88.76
03.01.2022 06:30;;3.345.729;20.785.938;49.714.762;88.76
03.01.2022 06:45;;3347.33;21.558.489;49.587.269;88.76
03.01.2022 07:00;;3.333.628;22.835.691;48.831.424;122.93
03.01.2022 07:15;;3.345.029;23.507.696;48.610.592;122.93
03.01.2022 07:30;;3.345.359;23934.69;49.226.008;122.93
