T,COP
-19.11,2.3
-18.45,2.3
-17.79,2.3
-17.13,2.3
-16.48,2.3
-15.82,2.3
-15.16,2.3
-14.5,2.3
-13.85,2.3
-13.19,2.3
-12.53,2.3
-11.87,2.3
-11.22,2.3
-10.56,2.3
-9.9,2.3
-9.24,2.3
-8.59,2.3
-7.93,2.3
-7.27,2.3
-6.66,2.8
-6,2.8
-5.35,2.8
-4.69,2.8
-4.03,2.8
-3.32,3.3
-2.67,3.3
-2.01,3.3
-1.35,3.3
-0.7,3.3
-0.04,3.3
0.62,3.8
1.28,3.8
1.93,3.8
2.59,3.8
3.25,3.8
3.89,4.33
4.54,4.33
5.2,4.33
5.85,4.33
6.51,4.33
7.11,4.85
7.76,4.85
8.42,4.85
9.08,4.85
9.73,4.85
10.39,4.85
11.01,5.36
11.67,5.36
12.32,5.36
12.98,5.36
13.63,5.36
14.29,5.36
14.95,5.36
15.6,5.36
16.26,5.36
16.91,5.36
17.57,5.36
18.23,5.36
18.88,5.36
19.54,5.36
20.19,5.36
20.85,5.36
21.51,5.36
22.16,5.36
22.82,5.36
23.47,5.36
24.13,5.36
24.79,5.36
25.44,5.36
26.1,5.36
26.75,5.36
27.41,5.36
28.07,5.36
28.72,5.36
29.38,5.36
29.89,5.36
