Zeit [h],Temperatur [°C],Globalstrahlung [kWh/m²],Heizwärmebedarf [kWh]
1,-2.83,0.00,0.00
2,-2.70,0.00,0.07
3,-2.58,0.00,0.41
4,-2.63,0.00,0.78
5,-2.60,0.00,1.14
6,-2.50,0.00,1.41
7,-2.58,0.00,18.76
8,-2.63,0.00,17.48
9,-2.70,0.00,0.42
10,-2.63,0.00,1.04
11,-2.40,0.00,1.53
12,-2.15,0.01,1.87
13,-2.03,0.01,2.25
14,-1.90,0.01,2.51
15,-1.85,0.03,2.86
16,-1.67,0.02,3.19
17,-1.42,0.01,20.53
18,-1.55,0.00,19.18
19,-1.60,0.00,18.35
20,-1.78,0.00,17.84
21,-1.90,0.00,17.49
22,-1.90,0.00,17.17
23,-1.80,0.00,0.51
24,-1.70,0.00,1.32
25,-1.65,0.00,2.07
26,-1.23,0.00,2.59
27,-0.80,0.00,2.91
28,-0.47,0.00,3.20
29,-0.48,0.00,3.57
30,-0.27,0.00,3.84
31,-0.05,0.00,21.15
32,0.00,0.00,19.71
33,0.08,0.00,1.79
34,0.37,0.00,2.68
35,0.57,0.00,3.20
36,1.02,0.03,3.50
37,1.50,0.03,3.67
38,1.93,0.02,3.84
39,1.85,0.02,4.03
40,1.15,0.02,4.57
41,0.15,0.02,22.38
42,-0.82,0.00,21.33
43,-0.90,0.00,20.49
44,-1.58,0.00,20.08
45,-2.30,0.00,19.93
46,-1.87,0.00,19.47
47,-1.58,0.00,1.98
48,-0.87,0.00,2.96
49,-1.58,0.00,4.06
50,-1.00,0.00,4.58
51,-0.65,0.00,4.85
52,-0.22,0.00,5.00
53,0.07,0.00,5.22
54,0.33,0.00,5.41
55,0.63,0.00,22.62
56,0.70,0.00,21.13
57,0.93,0.00,3.00
58,1.33,0.00,3.90
59,1.95,0.00,4.31
60,1.87,0.01,4.67
61,1.68,0.02,5.03
62,1.47,0.03,5.34
63,1.03,0.03,5.66
64,0.70,0.04,6.11
65,0.70,0.02,23.50
66,0.60,0.00,22.07
67,0.67,0.00,21.07
68,0.67,0.00,20.39
69,0.53,0.00,19.93
70,0.47,0.00,19.53
71,0.40,0.00,2.16
72,0.42,0.00,3.45
73,0.38,0.00,4.33
74,0.80,0.00,4.76
75,1.28,0.00,4.96
76,1.42,0.00,5.24
77,1.60,0.00,5.46
78,1.87,0.00,5.60
79,2.13,0.00,22.81
80,2.28,0.00,21.26
81,2.40,0.00,3.15
82,2.82,0.00,2.90
83,3.00,0.04,2.66
84,3.12,0.06,2.97
85,3.57,0.09,3.17
86,4.33,0.11,2.56
87,3.65,0.11,3.11
88,2.83,0.09,3.53
89,2.52,0.05,22.05
90,2.05,0.02,21.05
91,1.80,0.00,20.29
92,1.73,0.00,19.82
93,2.47,0.00,18.96
94,1.92,0.00,18.75
95,1.08,0.00,1.70
96,-0.02,0.00,3.46
97,-0.52,0.00,4.52
98,-0.52,0.00,5.12
99,-1.03,0.00,5.72
100,-1.33,0.00,6.25
101,-1.47,0.00,6.51
102,-0.77,0.00,6.68
