ubx0:70 lbx0:46.1905
ubx1:70 lbx1:46.1905
ubx2:70 lbx2:46.1905
ubx3:70 lbx3:46.1905
ubx4:inf lbx4:0
ubx5:16000 lbx5:1600
ubx6:20000 lbx6:2000
ubx7:0 lbx7:0
ubx8:0 lbx8:0
ubx9:70 lbx9:46
ubx10:70 lbx10:46
ubx11:70 lbx11:46
ubx12:70 lbx12:46
ubx13:inf lbx13:0
ubx14:16000 lbx14:1600
ubx15:20000 lbx15:2000
ubx16:0 lbx16:0
ubx17:0 lbx17:0
ubx18:70 lbx18:46.1905
ubx19:70 lbx19:46.1905
ubx20:70 lbx20:46.1905
ubx21:70 lbx21:46.1905
ubx22:inf lbx22:0
ubx23:16000 lbx23:1600
ubx24:20000 lbx24:2000
ubx25:0 lbx25:0
ubx26:0 lbx26:0
ubx27:70 lbx27:46.1905
ubx28:70 lbx28:46.1905
ubx29:70 lbx29:46.1905
ubx30:70 lbx30:46.1905
ubx31:inf lbx31:0
ubx32:16000 lbx32:1600
ubx33:20000 lbx33:2000
ubx34:0 lbx34:0
ubx35:0 lbx35:0
ubx36:70 lbx36:46.1905
ubx37:70 lbx37:46.1905
ubx38:70 lbx38:46.1905
ubx39:70 lbx39:46.1905
ubx40:inf lbx40:0
ubx41:16000 lbx41:1600
ubx42:20000 lbx42:2000
ubx43:0 lbx43:0
ubx44:0 lbx44:0
ubx45:70 lbx45:46.1429
ubx46:70 lbx46:46.1429
ubx47:70 lbx47:46.1429
ubx48:70 lbx48:46.1429
ubx49:inf lbx49:0
ubx50:16000 lbx50:1600
ubx51:20000 lbx51:2000
ubx52:0 lbx52:0
ubx53:0 lbx53:0
ubx54:70 lbx54:46.0952
ubx55:70 lbx55:46.0952
ubx56:70 lbx56:46.0952
ubx57:70 lbx57:46.0952
ubx58:inf lbx58:0
ubx59:16000 lbx59:1600
ubx60:20000 lbx60:2000
ubx61:0 lbx61:0
ubx62:0 lbx62:0
ubx63:70 lbx63:46.0476
ubx64:70 lbx64:46.0476
ubx65:70 lbx65:46.0476
ubx66:70 lbx66:46.0476
ubx67:inf lbx67:0
ubx68:16000 lbx68:1600
ubx69:20000 lbx69:2000
ubx70:0 lbx70:0
ubx71:0 lbx71:0
ubx72:70 lbx72:46
ubx73:70 lbx73:46
ubx74:70 lbx74:46
ubx75:70 lbx75:46
ubx76:inf lbx76:0
ubx77:16000 lbx77:1600
ubx78:20000 lbx78:2000
ubx79:0 lbx79:0
ubx80:0 lbx80:0
ubx81:70 lbx81:45.9583
ubx82:70 lbx82:45.9583
ubx83:70 lbx83:45.9583
ubx84:70 lbx84:45.9583
ubx85:inf lbx85:0
ubx86:16000 lbx86:1600
ubx87:20000 lbx87:2000
ubx88:0 lbx88:0
ubx89:0 lbx89:0
ubx90:70 lbx90:45.9167
ubx91:70 lbx91:45.9167
ubx92:70 lbx92:45.9167
ubx93:70 lbx93:45.9167
ubx94:inf lbx94:0
ubx95:16000 lbx95:1600
ubx96:20000 lbx96:2000
ubx97:0 lbx97:0
ubx98:0 lbx98:0
ubx99:70 lbx99:45.875
ubx100:70 lbx100:45.875
ubx101:70 lbx101:45.875
ubx102:70 lbx102:45.875
ubx103:inf lbx103:0
ubx104:16000 lbx104:1600
ubx105:20000 lbx105:2000
ubx106:0 lbx106:0
ubx107:0 lbx107:0
ubx108:70 lbx108:45.8333
ubx109:70 lbx109:45.8333
ubx110:70 lbx110:45.8333
ubx111:70 lbx111:45.8333
ubx112:inf lbx112:0
ubx113:16000 lbx113:1600
ubx114:20000 lbx114:2000
ubx115:0 lbx115:0
ubx116:0 lbx116:0
ubx117:70 lbx117:45.8512
ubx118:70 lbx118:45.8512
ubx119:70 lbx119:45.8512
ubx120:70 lbx120:45.8512
ubx121:inf lbx121:0
ubx122:16000 lbx122:1600
ubx123:20000 lbx123:2000
ubx124:0 lbx124:0
ubx125:0 lbx125:0
ubx126:70 lbx126:45.869
ubx127:70 lbx127:45.869
ubx128:70 lbx128:45.869
ubx129:70 lbx129:45.869
ubx130:inf lbx130:0
ubx131:16000 lbx131:1600
ubx132:20000 lbx132:2000
ubx133:0 lbx133:0
ubx134:0 lbx134:0
ubx135:70 lbx135:45.8869
ubx136:70 lbx136:45.8869
ubx137:70 lbx137:45.8869
ubx138:70 lbx138:45.8869
ubx139:inf lbx139:0
ubx140:16000 lbx140:1600
ubx141:20000 lbx141:2000
ubx142:0 lbx142:0
ubx143:0 lbx143:0
ubx144:70 lbx144:45.9048
ubx145:70 lbx145:45.9048
ubx146:70 lbx146:45.9048
ubx147:70 lbx147:45.9048
ubx148:inf lbx148:0
ubx149:16000 lbx149:1600
ubx150:20000 lbx150:2000
ubx151:0 lbx151:0
ubx152:0 lbx152:0
ubx153:70 lbx153:45.8929
ubx154:70 lbx154:45.8929
ubx155:70 lbx155:45.8929
ubx156:70 lbx156:45.8929
ubx157:inf lbx157:0
ubx158:16000 lbx158:1600
ubx159:20000 lbx159:2000
ubx160:0 lbx160:0
ubx161:0 lbx161:0
ubx162:70 lbx162:45.881
ubx163:70 lbx163:45.881
ubx164:70 lbx164:45.881
ubx165:70 lbx165:45.881
